Kennziffer;Raumeinheit;Aggregat;Gemeindeverwaltungen;Kreisverwaltungen;Finanzämter;Polizeidienststellen;Polizeidienststellen, zeitweise besetzt;Polizeidienststellen, durchgehend besetzt;Arbeitsmarktverwaltungseinrichtungen;Jobcenter;Geschäftsstellen der Agentur für Arbeit;Agenturen für Arbeit oder Regionaldirektionen;Gerichte;Amtsgerichte;Landgerichte;Oberlandesgerichte
"09561000";"Ansbach";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"09562000";"Erlangen";"Oberzentrum";"1";"1";"1";"1";"0";"1";"4";"3";"1";"0";"1";"1";"0";"0"
"09563000";"Fürth";"Oberzentrum";"1";"1";"1";"1";"0";"1";"4";"3";"0";"1";"1";"1";"0";"0"
"09564000";"Nürnberg";"Oberzentrum";"1";"1";"3";"5";"0";"5";"13";"11";"0";"2";"3";"1";"1";"1"
"09565000";"Schwabach";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09661000";"Aschaffenburg";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"09662000";"Schweinfurt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"09663000";"Würzburg";"Oberzentrum";"1";"1";"1";"1";"0";"1";"5";"4";"0";"1";"2";"1";"1";"0"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09761000";"Augsburg";"Oberzentrum";"1";"1";"3";"5";"0";"5";"6";"5";"0";"1";"2";"1";"1";"0"
"09762000";"Kaufbeuren";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"1";"1";"0";"0"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"09764000";"Memmingen";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"2";"1";"1";"0"
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09774135";"Günzburg, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09774155";"Leipheim, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"1";"1";"0";"0"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0"
