Kennziffer;Raumeinheit;Aggregat;Krankenhäuser insgesamt;Anzahl Krankenhäuser unter Grundversorgung;Anzahl Krankenhäuser mit Grundversorgung ;Anzahl Krankenhäuser mit Regelversorgung ;Anzahl Krankenhäuser mit Schwerpunktversorgung ;Anzahl Krankenhäuser mit Maximalversorgung ;Krankenhausbetten;Krankenhausbetten je 1000 Einwohner;Krankenhäuser – höchste Versorgungsstufe;Erreichbarkeit Apotheken;Ärzte je  Einwohner;Ärzte je  Einwohner;Ärzte je  Einwohner;Einwohner je Arzt;Einwohner je Arzt;Einwohner je Arzt;Hausärzte;Hausärzte;Hausärzte;Allgemeinärzte;Allgemeinärzte;Allgemeinärzte;Internisten;Internisten;Internisten;Kinderärzte;Kinderärzte;Kinderärzte
;;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017
"05711000";"Bielefeld, Stadt";"Oberzentrum";"13";"4";"6";"2";"1";"0";"4.797";"14,00";"4";"81,0";"18,0";"17,8";"17,2";"556,1";"560,4";"581,4";"5,9";"5,7";"5,6";"3,5";"3,4";"3,3";"1,3";"1,3";"1,1";"5,9";"5,8";"5,7"
"05774032";"Paderborn, Stadt";"Oberzentrum";"8";"4";"3";"1";"0";"0";"1.409";"9,00";"3";"82,0";"16,1";"16,1";"16,3";"622,4";"619,5";"613,5";"6,0";"6,1";"6,0";"4,2";"4,2";"4,0";"1,5";"1,3";"1,4";"5,8";"5,8";"5,7"
"05911000";"Bochum, Stadt";"Oberzentrum";"16";"6";"8";"1";"1";"0";"4.795";"13,00";"4";"89,0";"14,2";"14,1";"14,3";"705,5";"710,0";"700,2";"5,5";"5,3";"5,4";"3,4";"3,3";"3,3";"0,8";"0,8";"0,9";"5,6";"6,2";"6,1"
"05913000";"Dortmund, Stadt";"Oberzentrum";"19";"6";"7";"4";"1";"1";"4.021";"7,00";"5";"86,0";"13,0";"13,0";"13,2";"768,3";"768,8";"759,8";"5,1";"5,1";"5,2";"2,8";"2,7";"2,7";"0,7";"0,8";"0,8";"4,6";"4,5";"4,7"
"05914000";"Hagen, Stadt der FernUniversität";"Oberzentrum";"10";"3";"4";"3";"0";"0";"1.792";"10,00";"3";"85,0";"13,5";"13,7";"13,6";"738,5";"729,7";"733,3";"6,2";"6,4";"6,0";"3,8";"3,8";"3,7";"1,0";"1,0";"1,0";"4,7";"4,6";"4,6"
"05970040";"Siegen, Universitätsstadt";"Oberzentrum";"6";"1";"3";"2";"0";"0";"1.595";"16,00";"3";"61,0";"19,9";"19,8";"18,9";"501,7";"504,3";"530,2";"6,3";"6,3";"6,4";"4,4";"4,4";"4,3";"2,0";"1,8";"2,0";"8,6";"8,5";"6,8"
"06411000";"Darmstadt, Wissenschaftsstadt";"Oberzentrum";"8";"2";"4";"2";"0";"0";"1.562";"10,00";"3";"96,0";"21,6";"21,7";"21,4";"463,7";"460,3";"468,2";"6,8";"6,8";"6,7";"4,4";"4,5";"4,2";"2,4";"2,4";"2,3";"6,3";"6,2";"6,1"
"06412000";"Frankfurt am Main, Stadt";"Oberzentrum";"35";"8";"15";"7";"3";"2";"7.662";"10,00";"5";"98,0";"17,8";"17,8";"17,4";"560,6";"563,0";"575,4";"6,3";"6,3";"6,1";"4,3";"4,3";"4,1";"1,4";"1,4";"1,4";"5,7";"5,5";"5,4"
"06413000";"Offenbach am Main, Stadt";"Oberzentrum";"7";"2";"2";"2";"1";"0";"1.241";"10,00";"4";"94,0";"19,3";"18,6";"18,2";"517,7";"537,0";"550,7";"6,5";"6,5";"6,5";"5,2";"4,8";"4,7";"1,5";"1,8";"1,7";"5,3";"5,1";"5,1"
"06414000";"Wiesbaden, Landeshauptstadt";"Oberzentrum";"16";"5";"4";"4";"2";"1";"2.248";"8,00";"5";"90,0";"21,0";"20,2";"20,0";"477,1";"494,9";"501,2";"6,9";"6,9";"6,7";"4,3";"4,4";"4,2";"1,7";"1,6";"1,6";"5,7";"5,6";"5,6"
