Kennziffer;Raumeinheit;Aggregat;Zentralörtlicher Status;Zentralörtlicher Status (zusammengefasst);Zentralörtlicher Status (differenziert);Stadt-/Gemeindetyp;Raumtyp nach Lage;Bevölkerung;Fläche;Einwohnerdichte;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte
"12068264";"Kyritz, Stadt";"Gemeinde";"1";"2";"30";"40";"4";"9.375";"157,00";"59,0";"8,0";"673,0"
"12068280";"Lindow (Mark), Stadt";"Gemeinde";"0";"0";"0";"50";"4";"3.054";"65,00";"46,0";"7,0";"644,0"
"12068306";"Märkisch Linden";"Gemeinde";"0";"0";"0";"50";"4";"1.180";"44,00";"26,0";"7,0";"373,0"
"12068320";"Neuruppin, Stadt";"Gemeinde";"1";"2";"30";"20";"3";"30.889";"305,00";"101,0";"8,0";"1.146,0"
"12068324";"Neustadt (Dosse), Stadt";"Gemeinde";"0";"0";"0";"50";"4";"3.454";"75,00";"45,0";"8,0";"528,0"
"12068353";"Rheinsberg, Stadt";"Gemeinde";"0";"0";"0";"40";"4";"8.111";"328,00";"24,0";"5,0";"471,0"
"12068372";"Rüthnick";"Gemeinde";"0";"0";"0";"50";"4";"471";"17,00";"26,0";"4,0";"535,0"
"12068409";"Sieversdorf-Hohenofen";"Gemeinde";"0";"0";"0";"50";"4";"697";"20,00";"34,0";"6,0";"508,0"
"12068413";"Storbeck-Frankendorf";"Gemeinde";"0";"0";"0";"50";"4";"481";"42,00";"11,0";"2,0";"400,0"
"12068417";"Stüdenitz-Schönermark";"Gemeinde";"0";"0";"0";"50";"4";"600";"24,00";"24,0";"6,0";"392,0"
"12068425";"Temnitzquell";"Gemeinde";"0";"0";"0";"50";"4";"758";"65,00";"11,0";"5,0";"211,0"
"12068426";"Temnitztal";"Gemeinde";"0";"0";"0";"50";"4";"1.443";"52,00";"27,0";"4,0";"598,0"
"12068437";"Vielitzsee";"Gemeinde";"0";"0";"0";"50";"4";"463";"22,00";"20,0";"5,0";"350,0"
"12068452";"Walsleben";"Gemeinde";"0";"0";"0";"50";"4";"786";"31,00";"24,0";"7,0";"320,0"
"12068468";"Wittstock/Dosse, Stadt";"Gemeinde";"1";"2";"31";"30";"4";"14.283";"420,00";"33,0";"6,0";"500,0"
"12068477";"Wusterhausen/Dosse";"Gemeinde";"0";"0";"0";"40";"4";"5.885";"196,00";"29,0";"5,0";"533,0"
"12068501";"Zernitz-Lohm";"Gemeinde";"0";"0";"0";"50";"4";"864";"37,00";"23,0";"6,0";"375,0"
"12069017";"Beelitz, Stadt";"Gemeinde";"1";"2";"31";"30";"2";"12.175";"181,00";"67,0";"8,0";"777,0"
"12069018";"Beetzsee";"Gemeinde";"0";"0";"0";"50";"4";"2.594";"21,00";"121,0";"12,0";"960,0"
"12069019";"Beetzseeheide";"Gemeinde";"0";"0";"0";"50";"4";"691";"37,00";"18,0";"6,0";"284,0"
"12069020";"Bad Belzig, Stadt";"Gemeinde";"1";"2";"30";"30";"3";"11.126";"236,00";"47,0";"6,0";"699,0"
"12069028";"Bensdorf";"Gemeinde";"0";"0";"0";"50";"4";"1.215";"34,00";"35,0";"6,0";"530,0"
"12069052";"Borkheide";"Gemeinde";"0";"0";"0";"50";"3";"2.004";"6,00";"296,0";"35,0";"845,0"
"12069056";"Borkwalde";"Gemeinde";"0";"0";"0";"50";"3";"1.489";"4,00";"304,0";"23,0";"1.294,0"
"12069076";"Brück, Stadt";"Gemeinde";"0";"0";"0";"50";"3";"4.006";"86,00";"46,0";"7,0";"662,0"
"12069089";"Buckautal";"Gemeinde";"0";"0";"0";"50";"3";"489";"39,00";"12,0";"5,0";"232,0"
"12069216";"Golzow";"Gemeinde";"0";"0";"0";"50";"3";"1.327";"40,00";"32,0";"7,0";"468,0"
"12069224";"Görzke";"Gemeinde";"0";"0";"0";"50";"3";"1.228";"75,00";"16,0";"3,0";"414,0"
"12069232";"Gräben";"Gemeinde";"0";"0";"0";"50";"3";"522";"40,00";"12,0";"4,0";"301,0"
"12069249";"Groß Kreutz (Havel)";"Gemeinde";"0";"0";"0";"40";"3";"8.381";"99,00";"84,0";"11,0";"749,0"
"12069270";"Havelsee, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"3.229";"81,00";"39,0";"7,0";"494,0"
"12069304";"Kleinmachnow";"Gemeinde";"0";"0";"0";"20";"1";"20.608";"11,00";"1.730,0";"64,0";"2.679,0"
"12069306";"Kloster Lehnin";"Gemeinde";"0";"0";"0";"30";"3";"10.848";"200,00";"53,0";"8,0";"601,0"
"12069345";"Linthe";"Gemeinde";"0";"0";"0";"50";"3";"912";"29,00";"30,0";"12,0";"239,0"
"12069397";"Michendorf";"Gemeinde";"0";"0";"0";"30";"2";"12.437";"68,00";"181,0";"17,0";"1.016,0"
"12069402";"Mühlenfließ";"Gemeinde";"0";"0";"0";"50";"3";"882";"58,00";"15,0";"6,0";"246,0"
"12069448";"Niemegk, Stadt";"Gemeinde";"0";"0";"0";"50";"3";"2.043";"45,00";"45,0";"9,0";"463,0"
"12069454";"Nuthetal";"Gemeinde";"0";"0";"0";"40";"1";"9.077";"48,00";"188,0";"15,0";"1.213,0"
"12069460";"Päwesin";"Gemeinde";"0";"0";"0";"50";"4";"500";"23,00";"21,0";"7,0";"301,0"
"12069470";"Planebruch";"Gemeinde";"0";"0";"0";"50";"3";"1.012";"65,00";"15,0";"4,0";"383,0"
"12069474";"Planetal";"Gemeinde";"0";"0";"0";"50";"3";"930";"42,00";"21,0";"7,0";"280,0"
"12069485";"Rabenstein/Fläming";"Gemeinde";"0";"0";"0";"50";"3";"815";"79,00";"10,0";"4,0";"210,0"
"12069537";"Rosenau";"Gemeinde";"0";"0";"0";"50";"4";"915";"49,00";"18,0";"5,0";"360,0"
"12069541";"Roskow";"Gemeinde";"0";"0";"0";"50";"4";"1.178";"39,00";"30,0";"6,0";"471,0"
"12069590";"Schwielowsee";"Gemeinde";"0";"0";"0";"30";"2";"10.624";"58,00";"182,0";"16,0";"1.137,0"
"12069596";"Seddiner See";"Gemeinde";"0";"0";"0";"50";"2";"4.606";"23,00";"192,0";"17,0";"1.083,0"
"12069604";"Stahnsdorf";"Gemeinde";"0";"0";"0";"30";"1";"15.270";"49,00";"308,0";"25,0";"1.204,0"
"12069616";"Teltow, Stadt";"Gemeinde";"1";"2";"30";"20";"1";"25.761";"21,00";"1.192,0";"45,0";"2.642,0"
"12069632";"Treuenbrietzen, Stadt";"Gemeinde";"0";"0";"0";"40";"3";"7.475";"212,00";"35,0";"6,0";"568,0"
"12069648";"Wenzlow";"Gemeinde";"0";"0";"0";"50";"3";"548";"20,00";"26,0";"6,0";"385,0"
"12069656";"Werder (Havel), Stadt";"Gemeinde";"1";"2";"31";"20";"2";"25.695";"117,00";"219,0";"15,0";"1.433,0"
"12069665";"Wiesenburg/Mark";"Gemeinde";"0";"0";"0";"50";"4";"4.271";"220,00";"19,0";"6,0";"316,0"
