Kennziffer;Raumeinheit;Aggregat;Zentralörtlicher Status;Zentralörtlicher Status (zusammengefasst);Zentralörtlicher Status (differenziert);Stadt-/Gemeindetyp;Raumtyp nach Lage;Bevölkerung;Fläche;Einwohnerdichte;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte
"01058139";"Rumohr";"Gemeinde";"0";"0";"0";"40";"2";"832";"8,00";"96,0";"12,0";"784,0"
"01058140";"Schacht-Audorf";"Gemeinde";"0";"0";"0";"40";"2";"4.776";"6,00";"732,0";"44,0";"1.664,0"
"01058141";"Schierensee";"Gemeinde";"0";"0";"0";"40";"2";"373";"9,00";"40,0";"6,0";"666,0"
"01058142";"Schinkel";"Gemeinde";"0";"0";"0";"40";"3";"1.037";"10,00";"101,0";"8,0";"1.191,0"
"01058143";"Schmalstede";"Gemeinde";"0";"0";"0";"40";"2";"275";"4,00";"57,0";"25,0";"227,0"
"01058144";"Schönbek";"Gemeinde";"0";"0";"0";"40";"2";"209";"6,00";"34,0";"12,0";"278,0"
"01058145";"Schönhorst";"Gemeinde";"0";"0";"0";"40";"2";"306";"3,00";"86,0";"10,0";"784,0"
"01058146";"Schülldorf";"Gemeinde";"0";"0";"0";"40";"2";"769";"12,00";"59,0";"14,0";"422,0"
"01058147";"Schülp b. Nortorf";"Gemeinde";"0";"0";"0";"40";"2";"792";"9,00";"80,0";"11,0";"719,0"
"01058148";"Schülp b. Rendsburg";"Gemeinde";"0";"0";"0";"40";"3";"1.107";"10,00";"103,0";"11,0";"938,0"
"01058150";"Schwedeneck";"Gemeinde";"0";"0";"0";"50";"3";"2.833";"28,00";"99,0";"10,0";"910,0"
"01058151";"Seefeld";"Gemeinde";"0";"0";"0";"40";"3";"339";"6,00";"50,0";"9,0";"538,0"
"01058152";"Sehestedt";"Gemeinde";"0";"0";"0";"50";"3";"841";"15,00";"55,0";"6,0";"914,0"
"01058153";"Sören";"Gemeinde";"0";"0";"0";"40";"2";"182";"6,00";"27,0";"6,0";"423,0"
"01058154";"Sophienhamm";"Gemeinde";"0";"0";"0";"50";"3";"304";"5,00";"51,0";"6,0";"844,0"
"01058155";"Stafstedt";"Gemeinde";"0";"0";"0";"40";"3";"375";"11,00";"31,0";"6,0";"462,0"
"01058156";"Steenfeld";"Gemeinde";"0";"0";"0";"40";"3";"332";"11,00";"28,0";"8,0";"360,0"
"01058157";"Strande";"Gemeinde";"0";"0";"0";"50";"3";"1.505";"13,00";"109,0";"11,0";"923,0"
"01058158";"Tackesdorf";"Gemeinde";"0";"0";"0";"40";"3";"73";"7,00";"9,0";"4,0";"228,0"
"01058159";"Tappendorf";"Gemeinde";"0";"0";"0";"40";"3";"341";"6,00";"50,0";"8,0";"568,0"
"01058160";"Techelsdorf";"Gemeinde";"0";"0";"0";"40";"2";"147";"4,00";"33,0";"6,0";"506,0"
"01058161";"Thaden";"Gemeinde";"0";"0";"0";"40";"3";"255";"11,00";"21,0";"6,0";"318,0"
"01058162";"Thumby";"Gemeinde";"0";"0";"0";"50";"4";"398";"27,00";"14,0";"3,0";"386,0"
"01058163";"Timmaspe";"Gemeinde";"0";"0";"0";"40";"2";"1.056";"15,00";"68,0";"8,0";"812,0"
"01058164";"Todenbüttel";"Gemeinde";"0";"0";"0";"40";"3";"1.037";"11,00";"88,0";"11,0";"779,0"
"01058165";"Tüttendorf";"Gemeinde";"0";"0";"0";"40";"3";"1.256";"17,00";"70,0";"7,0";"923,0"
"01058166";"Waabs";"Gemeinde";"0";"0";"0";"50";"4";"1.471";"33,00";"44,0";"9,0";"485,0"
"01058167";"Wapelfeld";"Gemeinde";"0";"0";"0";"40";"3";"285";"8,00";"35,0";"9,0";"365,0"
"01058168";"Warder";"Gemeinde";"0";"0";"0";"40";"2";"696";"8,00";"79,0";"35,0";"225,0"
"01058169";"Wasbek";"Gemeinde";"0";"0";"0";"50";"2";"2.315";"23,00";"98,0";"12,0";"776,0"
"01058170";"Wattenbek";"Gemeinde";"0";"0";"0";"40";"2";"2.954";"6,00";"488,0";"22,0";"2.125,0"
"01058171";"Westensee";"Gemeinde";"0";"0";"0";"50";"2";"1.593";"36,00";"43,0";"5,0";"788,0"
"01058172";"Westerrönfeld";"Gemeinde";"0";"0";"0";"40";"3";"5.018";"7,00";"644,0";"36,0";"1.754,0"
"01058173";"Windeby";"Gemeinde";"0";"0";"0";"50";"3";"1.017";"14,00";"68,0";"9,0";"716,0"
"01058174";"Winnemark";"Gemeinde";"0";"0";"0";"50";"4";"525";"9,00";"54,0";"7,0";"690,0"
"01058175";"Ahlefeld-Bistensee";"Gemeinde";"0";"0";"0";"50";"3";"488";"10,00";"48,0";"8,0";"602,0"
"01059001";"Alt Bennebek";"Gemeinde";"0";"0";"0";"40";"3";"322";"14,00";"22,0";"5,0";"407,0"
"01059002";"Arnis, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"280";"0,00";"622,0";"40,0";"1.555,0"
"01059005";"Bergenhusen";"Gemeinde";"0";"0";"0";"40";"4";"711";"18,00";"39,0";"6,0";"592,0"
"01059006";"Böel";"Gemeinde";"0";"0";"0";"50";"4";"713";"13,00";"52,0";"8,0";"636,0"
"01059008";"Böklund";"Gemeinde";"1";"3";"70";"50";"3";"1.625";"7,00";"206,0";"16,0";"1.231,0"
"01059009";"Börm";"Gemeinde";"0";"0";"0";"40";"3";"748";"18,00";"39,0";"7,0";"502,0"
"01059010";"Bollingstedt";"Gemeinde";"0";"0";"0";"50";"3";"1.418";"27,00";"52,0";"10,0";"510,0"
"01059012";"Borgwedel";"Gemeinde";"0";"0";"0";"50";"2";"668";"9,00";"67,0";"12,0";"538,0"
"01059014";"Brebel";"Gemeinde";"0";"0";"0";"50";"4";"397";"6,00";"57,0";"8,0";"708,0"
"01059016";"Brodersby";"Gemeinde";"0";"0";"0";"50";"3";"482";"10,00";"46,0";"9,0";"467,0"
"01059018";"Busdorf";"Gemeinde";"0";"0";"0";"50";"2";"2.072";"5,00";"387,0";"40,0";"968,0"
"01059019";"Dannewerk";"Gemeinde";"0";"0";"0";"50";"2";"1.134";"16,00";"68,0";"19,0";"350,0"
"01059020";"Dörpstedt";"Gemeinde";"0";"0";"0";"40";"3";"551";"16,00";"33,0";"6,0";"505,0"
"01059021";"Dollrottfeld";"Gemeinde";"0";"0";"0";"50";"4";"274";"4,00";"54,0";"6,0";"883,0"
"01059023";"Ellingstedt";"Gemeinde";"0";"0";"0";"50";"3";"777";"21,00";"36,0";"6,0";"525,0"
"01059024";"Erfde";"Gemeinde";"1";"3";"70";"40";"4";"1.875";"33,00";"55,0";"8,0";"672,0"
"01059026";"Fahrdorf";"Gemeinde";"0";"0";"0";"50";"2";"2.543";"12,00";"211,0";"15,0";"1.382,0"
"01059032";"Geltorf";"Gemeinde";"0";"0";"0";"50";"2";"359";"8,00";"44,0";"5,0";"815,0"
"01059033";"Goltoft";"Gemeinde";"0";"0";"0";"50";"3";"212";"3,00";"68,0";"9,0";"731,0"
"01059034";"Grödersby";"Gemeinde";"0";"0";"0";"50";"4";"222";"6,00";"33,0";"6,0";"516,0"
"01059035";"Groß Rheide";"Gemeinde";"0";"0";"0";"40";"3";"867";"15,00";"56,0";"8,0";"656,0"
"01059037";"Havetoft";"Gemeinde";"0";"0";"0";"50";"3";"935";"14,00";"64,0";"8,0";"772,0"
"01059039";"Hollingstedt";"Gemeinde";"0";"0";"0";"50";"3";"1.035";"17,00";"59,0";"7,0";"755,0"
"01059041";"Hüsby";"Gemeinde";"0";"0";"0";"50";"2";"803";"9,00";"82,0";"9,0";"882,0"
"01059042";"Idstedt";"Gemeinde";"0";"0";"0";"50";"2";"905";"13,00";"67,0";"16,0";"411,0"
"01059043";"Jagel";"Gemeinde";"0";"0";"0";"50";"2";"935";"11,00";"78,0";"58,0";"133,0"
"01059044";"Jübek";"Gemeinde";"0";"0";"0";"50";"3";"2.734";"15,00";"175,0";"16,0";"1.076,0"
"01059045";"Kappeln, Stadt";"Gemeinde";"1";"3";"40";"40";"4";"8.675";"43,00";"200,0";"16,0";"1.241,0"
"01059049";"Klappholz";"Gemeinde";"0";"0";"0";"50";"3";"474";"8,00";"57,0";"8,0";"677,0"
"01059050";"Klein Bennebek";"Gemeinde";"0";"0";"0";"40";"3";"530";"25,00";"20,0";"5,0";"360,0"
"01059051";"Klein Rheide";"Gemeinde";"0";"0";"0";"40";"3";"332";"12,00";"25,0";"20,0";"127,0"
"01059053";"Kropp";"Gemeinde";"1";"3";"50";"40";"3";"6.576";"31,00";"205,0";"20,0";"994,0"
"01059055";"Loit";"Gemeinde";"0";"0";"0";"50";"4";"259";"6,00";"38,0";"7,0";"507,0"
"01059056";"Lottorf";"Gemeinde";"0";"0";"0";"50";"2";"253";"5,00";"43,0";"11,0";"383,0"
"01059057";"Lürschau";"Gemeinde";"0";"0";"0";"50";"2";"1.090";"16,00";"66,0";"12,0";"521,0"
"01059058";"Meggerdorf";"Gemeinde";"0";"0";"0";"40";"4";"691";"24,00";"28,0";"6,0";"448,0"
"01059060";"Mohrkirch";"Gemeinde";"0";"0";"0";"50";"4";"966";"14,00";"66,0";"8,0";"760,0"
"01059062";"Neuberend";"Gemeinde";"0";"0";"0";"50";"2";"1.138";"4,00";"257,0";"33,0";"763,0"
"01059063";"Norderbrarup";"Gemeinde";"0";"0";"0";"50";"4";"651";"3,00";"163,0";"17,0";"943,0"
"01059064";"Norderstapel";"Gemeinde";"0";"0";"0";"40";"4";"795";"15,00";"49,0";"7,0";"657,0"
"01059065";"Nottfeld";"Gemeinde";"0";"0";"0";"50";"4";"124";"3,00";"38,0";"9,0";"427,0"
"01059067";"Oersberg";"Gemeinde";"0";"0";"0";"50";"4";"302";"7,00";"42,0";"6,0";"686,0"
"01059068";"Rabenkirchen-Faulück";"Gemeinde";"0";"0";"0";"50";"4";"631";"14,00";"44,0";"9,0";"474,0"
"01059070";"Rügge";"Gemeinde";"0";"0";"0";"50";"4";"232";"6,00";"38,0";"6,0";"565,0"
"01059072";"Saustrup";"Gemeinde";"0";"0";"0";"50";"4";"193";"8,00";"23,0";"5,0";"419,0"
"01059073";"Schaalby";"Gemeinde";"0";"0";"0";"50";"3";"1.563";"24,00";"62,0";"8,0";"762,0"
"01059074";"Scheggerott";"Gemeinde";"0";"0";"0";"50";"4";"366";"6,00";"57,0";"8,0";"703,0"
"01059075";"Schleswig, Stadt";"Gemeinde";"1";"2";"30";"20";"3";"25.118";"24,00";"1.033,0";"47,0";"2.154,0"
"01059076";"Schnarup-Thumby";"Gemeinde";"0";"0";"0";"40";"3";"541";"10,00";"50,0";"7,0";"651,0"
"01059077";"Schuby";"Gemeinde";"0";"0";"0";"50";"2";"2.680";"23,00";"111,0";"15,0";"732,0"
"01059078";"Selk";"Gemeinde";"0";"0";"0";"50";"2";"877";"10,00";"87,0";"20,0";"434,0"
"01059079";"Silberstedt";"Gemeinde";"1";"3";"70";"50";"3";"2.250";"37,00";"59,0";"9,0";"618,0"
"01059080";"Steinfeld";"Gemeinde";"0";"0";"0";"50";"4";"800";"8,00";"91,0";"10,0";"879,0"
"01059081";"Stolk";"Gemeinde";"0";"0";"0";"50";"3";"786";"14,00";"54,0";"8,0";"623,0"
"01059082";"Struxdorf";"Gemeinde";"0";"0";"0";"50";"3";"647";"13,00";"48,0";"8,0";"562,0"
"01059083";"Süderbrarup";"Gemeinde";"1";"3";"50";"50";"4";"4.283";"8,00";"528,0";"34,0";"1.524,0"
"01059084";"Süderfahrenstedt";"Gemeinde";"0";"0";"0";"50";"3";"465";"9,00";"50,0";"6,0";"726,0"
"01059085";"Süderstapel";"Gemeinde";"0";"0";"0";"40";"4";"997";"16,00";"59,0";"9,0";"647,0"
"01059086";"Taarstedt";"Gemeinde";"0";"0";"0";"50";"3";"906";"13,00";"66,0";"8,0";"748,0"
"01059087";"Tetenhusen";"Gemeinde";"0";"0";"0";"40";"3";"975";"23,00";"42,0";"6,0";"617,0"
"01059088";"Tielen";"Gemeinde";"0";"0";"0";"40";"4";"290";"13,00";"21,0";"7,0";"295,0"
"01059090";"Tolk";"Gemeinde";"0";"0";"0";"50";"3";"1.014";"10,00";"97,0";"12,0";"774,0"
"01059092";"Treia";"Gemeinde";"0";"0";"0";"50";"3";"1.566";"21,00";"72,0";"9,0";"745,0"
"01059093";"Uelsby";"Gemeinde";"0";"0";"0";"50";"3";"434";"10,00";"40,0";"7,0";"578,0"
"01059094";"Ulsnis";"Gemeinde";"0";"0";"0";"50";"4";"664";"19,00";"33,0";"6,0";"514,0"
"01059095";"Wagersrott";"Gemeinde";"0";"0";"0";"50";"4";"231";"5,00";"40,0";"6,0";"679,0"
"01059096";"Wohlde";"Gemeinde";"0";"0";"0";"40";"4";"491";"14,00";"34,0";"6,0";"491,0"
"01059097";"Twedt";"Gemeinde";"0";"0";"0";"50";"3";"524";"12,00";"41,0";"8,0";"513,0"
"01059098";"Nübel";"Gemeinde";"0";"0";"0";"50";"3";"1.322";"18,00";"72,0";"8,0";"826,0"
"01059101";"Tastrup";"Gemeinde";"0";"0";"0";"50";"3";"420";"4,00";"100,0";"9,0";"1.024,0"
"01059102";"Ahneby";"Gemeinde";"0";"0";"0";"50";"4";"199";"3,00";"52,0";"6,0";"765,0"
"01059103";"Ausacker";"Gemeinde";"0";"0";"0";"50";"3";"530";"9,00";"58,0";"8,0";"654,0"
"01059105";"Böxlund";"Gemeinde";"0";"0";"0";"50";"3";"98";"4,00";"22,0";"13,0";"163,0"
"01059106";"Dollerup";"Gemeinde";"0";"0";"0";"50";"4";"1.012";"13,00";"77,0";"9,0";"778,0"
"01059107";"Eggebek";"Gemeinde";"0";"0";"0";"50";"3";"2.393";"16,00";"143,0";"26,0";"543,0"
"01059109";"Esgrus";"Gemeinde";"0";"0";"0";"50";"4";"779";"18,00";"43,0";"7,0";"603,0"
"01059112";"Gelting";"Gemeinde";"1";"3";"70";"50";"4";"1.976";"20,00";"98,0";"10,0";"940,0"
"01059113";"Glücksburg (Ostsee), Stadt";"Gemeinde";"1";"3";"70";"40";"3";"5.987";"39,00";"150,0";"10,0";"1.402,0"
"01059115";"Großenwiehe";"Gemeinde";"0";"0";"0";"50";"3";"3.003";"30,00";"99,0";"9,0";"1.001,0"
"01059116";"Großsolt";"Gemeinde";"0";"0";"0";"50";"3";"1.771";"25,00";"70,0";"9,0";"766,0"
"01059118";"Grundhof";"Gemeinde";"0";"0";"0";"50";"4";"859";"11,00";"74,0";"9,0";"760,0"
"01059120";"Harrislee";"Gemeinde";"1";"3";"70";"30";"3";"11.556";"18,00";"610,0";"31,0";"1.942,0"
"01059121";"Hasselberg";"Gemeinde";"0";"0";"0";"50";"4";"789";"11,00";"69,0";"10,0";"674,0"
"01059123";"Hörup";"Gemeinde";"0";"0";"0";"50";"3";"598";"18,00";"32,0";"8,0";"371,0"
"01059124";"Holt";"Gemeinde";"0";"0";"0";"50";"3";"177";"13,00";"13,0";"5,0";"236,0"
"01059126";"Hürup";"Gemeinde";"0";"0";"0";"50";"3";"1.239";"16,00";"76,0";"10,0";"724,0"
"01059127";"Husby";"Gemeinde";"0";"0";"0";"50";"3";"2.320";"19,00";"120,0";"10,0";"1.094,0"
"01059128";"Janneby";"Gemeinde";"0";"0";"0";"50";"3";"396";"14,00";"27,0";"6,0";"404,0"
"01059129";"Jardelund";"Gemeinde";"0";"0";"0";"50";"3";"312";"16,00";"18,0";"10,0";"172,0"
"01059131";"Jerrishoe";"Gemeinde";"0";"0";"0";"50";"3";"948";"16,00";"59,0";"8,0";"723,0"
"01059132";"Jörl";"Gemeinde";"0";"0";"0";"50";"3";"702";"19,00";"35,0";"9,0";"379,0"
"01059136";"Kronsgaard";"Gemeinde";"0";"0";"0";"50";"4";"233";"5,00";"39,0";"8,0";"475,0"
"01059137";"Langballig";"Gemeinde";"0";"0";"0";"50";"4";"1.529";"15,00";"99,0";"9,0";"1.092,0"
"01059138";"Langstedt";"Gemeinde";"0";"0";"0";"50";"3";"1.038";"13,00";"78,0";"8,0";"910,0"
"01059141";"Maasbüll";"Gemeinde";"0";"0";"0";"50";"3";"682";"7,00";"88,0";"11,0";"793,0"
"01059142";"Maasholm";"Gemeinde";"0";"0";"0";"50";"4";"581";"8,00";"69,0";"9,0";"708,0"
"01059143";"Medelby";"Gemeinde";"0";"0";"0";"50";"3";"958";"9,00";"98,0";"11,0";"863,0"
"01059144";"Meyn";"Gemeinde";"0";"0";"0";"50";"3";"743";"12,00";"59,0";"9,0";"614,0"
"01059145";"Munkbrarup";"Gemeinde";"0";"0";"0";"50";"4";"1.127";"13,00";"84,0";"8,0";"1.024,0"
"01059147";"Nieby";"Gemeinde";"0";"0";"0";"50";"4";"129";"8,00";"15,0";"6,0";"252,0"
"01059148";"Niesgrau";"Gemeinde";"0";"0";"0";"50";"4";"547";"9,00";"55,0";"9,0";"607,0"
"01059149";"Nordhackstedt";"Gemeinde";"0";"0";"0";"50";"3";"483";"12,00";"38,0";"9,0";"423,0"
"01059151";"Osterby";"Gemeinde";"0";"0";"0";"50";"3";"307";"12,00";"24,0";"9,0";"251,0"
"01059152";"Pommerby";"Gemeinde";"0";"0";"0";"50";"4";"159";"5,00";"28,0";"7,0";"378,0"
"01059154";"Rabel";"Gemeinde";"0";"0";"0";"50";"4";"624";"8,00";"70,0";"5,0";"1.248,0"
"01059155";"Rabenholz";"Gemeinde";"0";"0";"0";"50";"4";"282";"5,00";"48,0";"7,0";"687,0"
"01059157";"Ringsberg";"Gemeinde";"0";"0";"0";"50";"4";"543";"5,00";"103,0";"8,0";"1.180,0"
"01059158";"Schafflund";"Gemeinde";"1";"3";"70";"50";"3";"2.632";"19,00";"137,0";"13,0";"1.040,0"
"01059159";"Sieverstedt";"Gemeinde";"0";"0";"0";"40";"3";"1.641";"31,00";"52,0";"11,0";"455,0"
"01059161";"Sörup";"Gemeinde";"1";"3";"70";"40";"3";"4.311";"44,00";"97,0";"9,0";"977,0"
"01059162";"Sollerup";"Gemeinde";"0";"0";"0";"50";"3";"487";"12,00";"37,0";"7,0";"507,0"
"01059163";"Stangheck";"Gemeinde";"0";"0";"0";"50";"4";"217";"10,00";"21,0";"4,0";"452,0"
"01059164";"Steinberg";"Gemeinde";"0";"0";"0";"50";"4";"830";"16,00";"51,0";"7,0";"648,0"
"01059167";"Sterup";"Gemeinde";"0";"0";"0";"50";"4";"1.345";"17,00";"78,0";"9,0";"840,0"
"01059168";"Stoltebüll";"Gemeinde";"0";"0";"0";"50";"4";"714";"16,00";"43,0";"6,0";"680,0"
"01059169";"Süderhackstedt";"Gemeinde";"0";"0";"0";"50";"3";"354";"10,00";"34,0";"6,0";"505,0"
"01059171";"Tarp";"Gemeinde";"1";"3";"50";"40";"3";"5.550";"16,00";"339,0";"23,0";"1.423,0"
"01059173";"Wallsbüll";"Gemeinde";"0";"0";"0";"50";"3";"933";"13,00";"70,0";"8,0";"811,0"
"01059174";"Wanderup";"Gemeinde";"0";"0";"0";"50";"3";"2.497";"28,00";"87,0";"11,0";"730,0"
"01059176";"Wees";"Gemeinde";"0";"0";"0";"50";"4";"2.405";"12,00";"188,0";"14,0";"1.321,0"
"01059177";"Weesby";"Gemeinde";"0";"0";"0";"50";"3";"428";"21,00";"19,0";"6,0";"287,0"
"01059178";"Westerholz";"Gemeinde";"0";"0";"0";"50";"4";"734";"14,00";"49,0";"6,0";"824,0"
"01059179";"Lindewitt";"Gemeinde";"0";"0";"0";"50";"3";"1.924";"53,00";"36,0";"7,0";"481,0"
"01059182";"Freienwill";"Gemeinde";"0";"0";"0";"50";"3";"1.604";"15,00";"104,0";"11,0";"938,0"
"01059183";"Handewitt";"Gemeinde";"0";"0";"0";"30";"3";"11.081";"77,00";"142,0";"17,0";"830,0"
"01059184";"Oeversee";"Gemeinde";"0";"0";"0";"40";"3";"3.415";"36,00";"94,0";"16,0";"579,0"
"01059185";"Mittelangeln";"Gemeinde";"1";"3";"70";"40";"3";"5.172";"44,00";"115,0";"10,0";"1.114,0"
"01059186";"Steinbergkirche";"Gemeinde";"1";"3";"70";"50";"4";"2.747";"35,00";"76,0";"8,0";"880,0"
"01059187";"Boren";"Gemeinde";"0";"0";"0";"50";"4";"1.154";"30,00";"38,0";"7,0";"491,0"
"01060002";"Alveslohe";"Gemeinde";"0";"0";"0";"50";"2";"2.782";"21,00";"129,0";"17,0";"751,0"
"01060003";"Armstedt";"Gemeinde";"0";"0";"0";"50";"2";"398";"8,00";"44,0";"7,0";"612,0"
"01060004";"Bad Bramstedt, Stadt";"Gemeinde";"1";"3";"50";"30";"2";"14.278";"24,00";"591,0";"32,0";"1.809,0"
"01060005";"Bad Segeberg, Stadt";"Gemeinde";"1";"2";"31";"30";"2";"17.273";"18,00";"915,0";"42,0";"2.161,0"
"01060006";"Bahrenhof";"Gemeinde";"0";"0";"0";"50";"2";"212";"5,00";"37,0";"6,0";"572,0"
"01060007";"Bark";"Gemeinde";"0";"0";"0";"50";"2";"978";"20,00";"47,0";"15,0";"316,0"
"01060008";"Bebensee";"Gemeinde";"0";"0";"0";"50";"2";"618";"6,00";"92,0";"10,0";"882,0"
"01060009";"Bimöhlen";"Gemeinde";"0";"0";"0";"50";"2";"984";"17,00";"57,0";"9,0";"603,0"
"01060010";"Blunk";"Gemeinde";"0";"0";"0";"50";"2";"594";"10,00";"55,0";"8,0";"652,0"
"01060011";"Boostedt";"Gemeinde";"0";"0";"0";"40";"2";"6.920";"27,00";"255,0";"15,0";"1.663,0"
"01060012";"Bornhöved";"Gemeinde";"1";"3";"51";"40";"2";"3.280";"14,00";"232,0";"22,0";"1.047,0"
"01060013";"Borstel";"Gemeinde";"0";"0";"0";"50";"2";"130";"5,00";"25,0";"7,0";"333,0"
"01060014";"Buchholz (Forstgutsbez.),gemfr. Gebiet";"Gemeinde";"0";"0";"0";"50";"2";"0";"40,00";"0,0";"2,0";"0,0"
"01060015";"Bühnsdorf";"Gemeinde";"0";"0";"0";"50";"2";"366";"4,00";"88,0";"7,0";"1.143,0"
"01060016";"Daldorf";"Gemeinde";"0";"0";"0";"40";"2";"642";"15,00";"42,0";"12,0";"343,0"
"01060017";"Damsdorf";"Gemeinde";"0";"0";"0";"40";"2";"234";"7,00";"30,0";"33,0";"90,0"
"01060018";"Dreggers";"Gemeinde";"0";"0";"0";"50";"2";"55";"2,00";"19,0";"4,0";"458,0"
"01060019";"Ellerau";"Gemeinde";"0";"0";"0";"40";"1";"6.182";"7,00";"871,0";"34,0";"2.492,0"
"01060020";"Fahrenkrug";"Gemeinde";"0";"0";"0";"50";"2";"1.675";"6,00";"269,0";"19,0";"1.361,0"
"01060021";"Föhrden-Barl";"Gemeinde";"0";"0";"0";"50";"2";"302";"9,00";"32,0";"6,0";"471,0"
"01060022";"Fredesdorf";"Gemeinde";"0";"0";"0";"50";"2";"406";"5,00";"68,0";"7,0";"944,0"
"01060023";"Fuhlendorf";"Gemeinde";"0";"0";"0";"50";"2";"426";"6,00";"65,0";"11,0";"560,0"
"01060024";"Geschendorf";"Gemeinde";"0";"0";"0";"50";"2";"567";"5,00";"99,0";"14,0";"700,0"
"01060025";"Glasau";"Gemeinde";"0";"0";"0";"50";"3";"907";"18,00";"48,0";"6,0";"802,0"
"01060026";"Gönnebek";"Gemeinde";"0";"0";"0";"40";"2";"478";"14,00";"32,0";"8,0";"382,0"
"01060027";"Großenaspe";"Gemeinde";"0";"0";"0";"50";"2";"2.906";"45,00";"63,0";"10,0";"623,0"
"01060028";"Groß Kummerfeld";"Gemeinde";"0";"0";"0";"40";"2";"1.937";"30,00";"64,0";"9,0";"701,0"
"01060029";"Groß Niendorf";"Gemeinde";"0";"0";"0";"50";"2";"669";"10,00";"62,0";"6,0";"983,0"
"01060030";"Groß Rönnau";"Gemeinde";"0";"0";"0";"50";"2";"594";"6,00";"93,0";"17,0";"525,0"
"01060031";"Hagen";"Gemeinde";"0";"0";"0";"50";"2";"488";"8,00";"59,0";"8,0";"687,0"
"01060033";"Hardebek";"Gemeinde";"0";"0";"0";"50";"2";"450";"10,00";"44,0";"6,0";"681,0"
"01060034";"Hartenholm";"Gemeinde";"0";"0";"0";"50";"2";"1.837";"15,00";"119,0";"11,0";"1.049,0"
"01060035";"Hasenkrug";"Gemeinde";"0";"0";"0";"50";"2";"334";"5,00";"64,0";"9,0";"695,0"
"01060036";"Hasenmoor";"Gemeinde";"0";"0";"0";"50";"2";"712";"17,00";"40,0";"7,0";"501,0"
"01060037";"Heidmoor";"Gemeinde";"0";"0";"0";"50";"2";"320";"18,00";"17,0";"5,0";"344,0"
"01060038";"Heidmühlen";"Gemeinde";"0";"0";"0";"40";"2";"674";"17,00";"37,0";"7,0";"522,0"
"01060039";"Henstedt-Ulzburg";"Gemeinde";"1";"3";"50";"20";"2";"28.056";"39,00";"710,0";"30,0";"2.341,0"
"01060040";"Hitzhusen";"Gemeinde";"0";"0";"0";"50";"2";"1.245";"7,00";"156,0";"14,0";"1.101,0"
"01060041";"Högersdorf";"Gemeinde";"0";"0";"0";"50";"2";"408";"4,00";"82,0";"13,0";"608,0"
"01060042";"Hüttblek";"Gemeinde";"0";"0";"0";"50";"2";"382";"2,00";"138,0";"12,0";"1.091,0"
"01060043";"Itzstedt";"Gemeinde";"1";"3";"71";"40";"2";"2.348";"7,00";"329,0";"16,0";"2.024,0"
"01060044";"Kaltenkirchen, Stadt";"Gemeinde";"1";"2";"30";"20";"2";"21.386";"23,00";"925,0";"43,0";"2.134,0"
"01060045";"Kattendorf";"Gemeinde";"0";"0";"0";"50";"2";"847";"9,00";"86,0";"7,0";"1.114,0"
"01060046";"Kayhude";"Gemeinde";"0";"0";"0";"40";"2";"1.163";"5,00";"221,0";"15,0";"1.401,0"
"01060047";"Kisdorf";"Gemeinde";"0";"0";"0";"50";"2";"3.900";"24,00";"159,0";"13,0";"1.181,0"
"01060048";"Klein Gladebrügge";"Gemeinde";"0";"0";"0";"50";"2";"558";"4,00";"119,0";"11,0";"1.033,0"
"01060049";"Klein Rönnau";"Gemeinde";"0";"0";"0";"50";"2";"1.643";"4,00";"362,0";"24,0";"1.493,0"
"01060050";"Krems II";"Gemeinde";"0";"0";"0";"50";"3";"404";"11,00";"35,0";"8,0";"434,0"
"01060051";"Kükels";"Gemeinde";"0";"0";"0";"50";"2";"439";"8,00";"51,0";"12,0";"406,0"
"01060052";"Latendorf";"Gemeinde";"0";"0";"0";"40";"2";"590";"17,00";"32,0";"7,0";"450,0"
"01060053";"Leezen";"Gemeinde";"1";"3";"70";"50";"2";"1.716";"14,00";"114,0";"11,0";"969,0"
"01060054";"Lentföhrden";"Gemeinde";"0";"0";"0";"50";"2";"2.603";"20,00";"129,0";"14,0";"870,0"
"01060056";"Mönkloh";"Gemeinde";"0";"0";"0";"50";"2";"247";"12,00";"19,0";"4,0";"449,0"
"01060057";"Mözen";"Gemeinde";"0";"0";"0";"50";"2";"436";"7,00";"56,0";"7,0";"778,0"
"01060058";"Nahe";"Gemeinde";"1";"3";"71";"40";"2";"2.377";"10,00";"229,0";"16,0";"1.358,0"
"01060059";"Negernbötel";"Gemeinde";"0";"0";"0";"50";"2";"998";"16,00";"58,0";"10,0";"545,0"
"01060060";"Nehms";"Gemeinde";"0";"0";"0";"50";"3";"559";"15,00";"36,0";"5,0";"614,0"
"01060061";"Neuengörs";"Gemeinde";"0";"0";"0";"50";"2";"800";"13,00";"59,0";"7,0";"754,0"
"01060062";"Neversdorf";"Gemeinde";"0";"0";"0";"50";"2";"729";"7,00";"100,0";"11,0";"899,0"
"01060063";"Norderstedt, Stadt";"Gemeinde";"1";"2";"30";"20";"1";"78.679";"58,00";"1.354,0";"46,0";"2.888,0"
"01060064";"Nützen";"Gemeinde";"0";"0";"0";"50";"2";"1.167";"21,00";"53,0";"18,0";"289,0"
