Kennziffer;Raumeinheit;Aggregat;ÖV-Haltestellen;Bahnhaltestellen;Bushaltestellen;U-/Strassenbahnhaltestellen;ÖV-Abfahrten;Bahn-Abfahrten;Bus-Abfahrten;U-/Straßenbahn-Abfahrten;Erreichbarkeit von IC/EC/ICE-Bahnhöfen ;Erreichbarkeit Autobahnen;Erreichbarkeit Flughäfen;Erreichbarkeit KV-Terminal;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"78";"1";"78";"0";"2.305";"133";"2.172";"0";"0,0";"17,8";"65,5";"70,5";"0,0";"0,0"
"09261000";"Landshut";"Oberzentrum";"180";"2";"180";"0";"14.377";"181";"14.196";"0";"39,7";"5,9";"29,0";"2,2";"0,0";"0,0"
"09262000";"Passau";"Oberzentrum";"220";"2";"220";"0";"20.187";"113";"20.074";"0";"0,0";"6,0";"65,7";"7,7";"0,0";"0,0"
"09263000";"Straubing";"Oberzentrum";"36";"3";"35";"0";"912";"171";"741";"0";"26,2";"9,5";"71,9";"37,8";"0,0";"0,0"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"150";"1";"150";"0";"3.730";"50";"3.680";"0";"9,4";"2,8";"67,4";"4,9";"0,0";"0,0"
"09271146";"Plattling, Stadt";"Oberzentrum";"40";"2";"40";"0";"894";"164";"730";"0";"0,0";"2,8";"61,7";"14,3";"0,0";"0,0"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"16";"1";"16";"0";"203";"40";"163";"0";"24,2";"3,8";"45,0";"29,9";"0,0";"0,0"
"09361000";"Amberg";"Oberzentrum";"142";"1";"142";"0";"8.376";"46";"8.330";"0";"46,2";"8,4";"48,6";"60,4";"0,0";"0,0"
"09362000";"Regensburg";"Oberzentrum";"249";"4";"248";"0";"47.124";"389";"46.735";"0";"3,2";"2,7";"67,4";"5,8";"0,0";"0,0"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"135";"1";"135";"0";"9.625";"112";"9.513";"0";"52,3";"5,5";"76,1";"34,4";"0,0";"0,0"
"09372116";"Cham, Stadt";"Oberzentrum";"114";"2";"114";"0";"1.721";"96";"1.625";"0";"52,4";"30,7";"107,2";"59,5";"0,0";"0,0"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"127";"2";"127";"0";"4.706";"185";"4.521";"0";"35,8";"8,2";"38,2";"43,7";"0,0";"0,0"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"20";"0";"20";"0";"217";"0";"217";"0";"79,0";"11,6";"102,8";"19,0";"0,0";"0,0"
"09461000";"Bamberg";"Oberzentrum";"152";"1";"152";"0";"17.696";"207";"17.489";"0";"0,0";"6,6";"44,5";"5,0";"0,0";"0,0"
"09462000";"Bayreuth";"Oberzentrum";"207";"4";"206";"0";"18.138";"227";"17.911";"0";"46,7";"4,1";"57,4";"52,0";"0,0";"0,0"
"09463000";"Coburg";"Oberzentrum";"40";"4";"39";"0";"1.564";"194";"1.370";"0";"18,2";"4,4";"67,9";"47,8";"0,0";"0,0"
"09464000";"Hof";"Oberzentrum";"139";"2";"139";"0";"10.097";"179";"9.918";"0";"62,2";"6,7";"86,7";"4,3";"0,0";"0,0"
"09474126";"Forchheim, GKSt";"Oberzentrum";"71";"2";"71";"0";"6.365";"203";"6.162";"0";"13,0";"3,5";"26,6";"35,8";"0,0";"0,0"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"39";"1";"39";"0";"843";"106";"737";"0";"30,9";"9,0";"73,2";"50,0";"0,0";"0,0"
