Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Arbeitsort;Beschäftigte am Wohnort;Beschäftigtendichte (AO);Beschäftigtendichte (WO);Entwicklung Beschäftigte;Einpendler;Auspendler;Pendlersaldo 
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"11.614";"8.065";"621,0";"431,0";"20,8";"7.619";"4.073,0";"30,5"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"3.464";"4.546";"317,0";"416,0";"4,9";"2.297";"3.379,0";"-31,2"
"09774135";"Günzburg, GKSt";"Oberzentrum";"12.846";"8.523";"631,0";"418,0";"9,8";"9.216";"4.896,0";"33,6"
"09774155";"Leipheim, Stadt";"Oberzentrum";"3.771";"3.232";"529,0";"453,0";"27,6";"2.955";"2.416,0";"14,3"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"28.265";"24.211";"489,0";"419,0";"16,2";"21.260";"17.230,0";"14,3"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"12.943";"9.007";"512,0";"356,0";"9,1";"7.440";"3.514,0";"30,3"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"17.968";"8.209";"904,0";"413,0";"18,2";"13.950";"4.199,0";"54,3"
"09779194";"Nördlingen, GKSt";"Oberzentrum";"12.244";"8.635";"605,0";"426,0";"1,9";"7.589";"3.984,0";"29,4"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"9.858";"5.544";"693,0";"390,0";"24,7";"7.405";"3.107,0";"43,6"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"7.637";"8.649";"354,0";"401,0";"9,1";"4.456";"5.483,0";"-13,4"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"111.788";"61.649";"617,0";"340,0";"3,7";"72.335";"22.254,0";"44,8"
"11000000";"Berlin, Stadt";"Oberzentrum";"1.426.462";"1.296.364";"394,0";"358,0";"19,8";"309.375";"179.977,0";"9,1"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"29.258";"26.911";"407,0";"374,0";"8,1";"11.858";"9.533,0";"7,9"
"12052000";"Cottbus, Stadt";"Oberzentrum";"45.718";"36.777";"452,0";"363,0";"3,0";"21.931";"13.001,0";"19,5"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"27.582";"21.158";"473,0";"363,0";"-1,5";"13.145";"6.732,0";"23,3"
"12054000";"Potsdam, Stadt";"Oberzentrum";"84.253";"67.978";"479,0";"386,0";"8,1";"49.575";"33.344,0";"19,3"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"88.489";"77.953";"424,0";"374,0";"9,3";"33.344";"22.828,0";"11,9"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"50.375";"35.002";"525,0";"365,0";"6,7";"25.879";"10.516,0";"30,5"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"33.276";"23.354";"517,0";"363,0";"2,9";"16.085";"6.168,0";"29,8"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"24.178";"19.404";"406,0";"326,0";"5,0";"11.464";"6.687,0";"19,8"
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"27.723";"21.551";"470,0";"365,0";"14,7";"12.714";"6.539,0";"22,3"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"115.677";"91.039";"468,0";"368,0";"7,1";"52.246";"27.639,0";"21,3"
"14523320";"Plauen, Stadt";"Oberzentrum";"24.464";"24.328";"375,0";"373,0";"1,3";"10.583";"10.525,0";"0,2"
"14524330";"Zwickau, Stadt";"Oberzentrum";"52.492";"35.974";"582,0";"398,0";"5,0";"30.120";"13.681,0";"31,3"
"14612000";"Dresden, Stadt";"Oberzentrum";"258.758";"219.926";"469,0";"399,0";"10,8";"93.990";"55.223,0";"15,0"
"14625020";"Bautzen, Stadt";"Oberzentrum";"26.408";"14.959";"669,0";"379,0";"1,9";"18.281";"6.842,0";"43,3"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"11.235";"11.168";"339,0";"337,0";"13,0";"5.941";"5.874,0";"0,6"
"14626110";"Görlitz, Stadt";"Oberzentrum";"21.719";"18.121";"385,0";"321,0";"7,2";"9.934";"6.341,0";"16,5"
"14713000";"Leipzig, Stadt";"Oberzentrum";"262.537";"226.578";"451,0";"389,0";"17,8";"97.383";"61.586,0";"13,6"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"33.717";"30.206";"410,0";"367,0";"-0,8";"13.414";"10.203,0";"9,5"
"15002000";"Halle (Saale), Stadt";"Oberzentrum";"95.239";"84.975";"398,0";"355,0";"4,3";"40.087";"29.953,0";"10,6"
"15003000";"Magdeburg, Landeshauptstadt";"Oberzentrum";"109.018";"91.149";"457,0";"382,0";"6,2";"45.533";"27.860,0";"16,2"
"16051000";"Erfurt, Stadt";"Oberzentrum";"109.414";"82.419";"513,0";"386,0";"10,4";"49.586";"22.696,0";"24,6"
"16052000";"Gera, Stadt";"Oberzentrum";"36.401";"34.453";"383,0";"363,0";"2,8";"15.641";"13.724,0";"5,3"
"16053000";"Jena, Stadt";"Oberzentrum";"55.192";"40.810";"496,0";"367,0";"7,8";"25.610";"11.267,0";"26,0"
